,region,quantity,total
0,Адыгея,1200,154832.40000000002
1,Алтайский край,21560,1861838.16
2,Амурская область,5190,799163.71
3,Архангельская область,11130,1629231.67
4,Астраханская область,28250,1975200.2999999998
5,Башкортостан,19850,3557790.8279999997
6,Белгородская область,62430,5735014.633635135
7,Брянская область,31100,3590146.0734
8,Бурятия,16350,2187202.23
9,Владимирская область,7720,754606.9351878788
10,Волгоградская область,56300,6018903.337
11,Вологодская область,86650,7154690.737
12,Воронежская область,33690,4269869.888499999
13,Еврейская автономная область,2960,273740.8
14,Забайкальский край,170400,20991864.328
15,Ивановская область,8900,955527.029072
16,Иркутская область,72450,7300282.6252500005
17,Калининградская область,32840,3911855.45238
18,Калужская область,175410,23049816.706
19,Камчатский край,12020,1648203.025
20,Карачаево-Черкесская республика,1620,152847.0
21,Кемеровская область,49580,8958312.05
22,Кировская область,40560,6001580.229686207
23,Костромская область,15700,2212500.0
24,Краснодарский край,31110,4543939.754369133
25,Красноярский край,101470,12904131.19456
26,Курганская область,37670,4911318.666
27,Курская область,14480,1707663.7955
28,Ленинградская область,5240,608679.85
29,Липецкая область,105120,13457465.8772325
30,Марий Эл,17900,1023579.9904
31,Москва,1940900,247871220.8028508
32,Московская область,530785,74796902.483195
33,Мурманская область,47670,4838385.3798
34,Нижегородская область,64270,3233237.95
35,Новгородская область,55480,4987450.1959692305
36,Новосибирская область,203910,19217191.92714
37,Омская область,29100,3451883.1489999997
38,Оренбургская область,127740,14646904.56755
39,Орловская область,48950,2931460.9801
40,Пензенская область,3850,439076.125
41,Пермский край,101920,13220040.8087
42,Приморский край,220770,20848320.504
43,Псковская область,57460,6185251.382224
44,Республика Карелия,80160,13542840.536474999
45,Республика Коми,57640,7602270.050135
46,Республика Мордовия,22950,889558.595
47,Республика Саха (Якутия),60850,10726152.34
48,Республика Хакасия,23880,3393095.6514
49,Ростовская область,15380,1271479.7748254999
50,Рязанская область,8310,697804.7799999999
51,Самарская область,162800,15672681.46295
52,Санкт-Петербург,158080,17567200.749557145
53,Саратовская область,52570,6143732.313877037
54,Сахалинская область,24240,3290219.588
55,Свердловская область,300470,30775485.64689
56,Северная Осетия - Алания,4260,491141.15
57,Смоленская область,470,117649.5
58,Ставропольский край,11170,1297093.9
59,Тамбовская область,38130,7837132.154
60,Татарстан,31690,2679280.637975
61,Тверская область,8510,884079.4185
62,Томская область,62930,9012149.116
63,Тульская область,273230,32741796.662181817
64,Тюменская область,300640,34816368.800000004
65,Удмуртская республика,72640,7794777.583726536
66,Ульяновская область,137360,16013233.169155171
67,Хабаровский край,110160,15979961.908769999
68,Ханты-Мансийский автономный округ - Югра,162450,14399882.04364
69,Челябинская область,104670,14109506.7695
70,Чувашия,1100,172888.06
71,Ямало-Ненецкий автономный округ,77980,9894990.292
72,Ярославская область,15680,2105040.4787500002
